num_variables, secl_runtime(s), reg_runtime(s)
1000, 4.012000, 3.602000
2000, 4.106000, 3.624000
3000, 4.148000, 3.642000
4000, 3.930000, 3.702000
5000, 4.074000, 3.750000
6000, 4.136000, 3.810000
7000, 4.118000, 3.930000
8000, 5.402000, 4.344000
9000, 4.940000, 4.346000
10000, 4.872000, 4.602000

