num_variables, secl_runtime(s), reg_runtime(s)
1000, 3.858000, 3.620000
2000, 3.786000, 3.652000
3000, 3.906000, 3.674000
4000, 3.950000, 3.628000
5000, 3.998000, 3.770000
6000, 4.468000, 3.792000
7000, 4.280000, 3.842000
8000, 4.216000, 3.822000
9000, 5.570000, 3.854000
10000, 5.060000, 3.934000



