num_variables, secl_runtime(s), reg_runtime(s)
1000, 1.146000, 1.118000 
2000, 1.180000, 1.118000
3000, 1.176000, 1.118000
4000, 1.174000, 1.118000
5000, 1.184000, 1.118000
6000, 1.180000, 1.118000
7000, 1.178000, 1.118000
8000, 1.178000, 1.172000
9000, 1.186000, 1.164000
10000, 1.178000, 1.174000

