dataset_size, nosgx_poly_ni(ms), sgx_part(ms), sgx_nopart(ms)
3000, 324.8, 00, 2745.2
6000, 423.6, 00, 3499.8
9000, 541, 00, 5393.2
12000, 686.2, 00, 7675.6
