untrusted_percent, avg_runtime(s)
0, 1.194000
10, 1.208000
20, 1.172000
30, 1.206000
40, 1.212000
50, 1.202000
60, 1.200000
70, 1.208000
80, 1.194000
90, 1.216000
100, 1.222000

