dataset_size, nosgx_poly_ni(ms), sgx_part(ms), sgx_nopart(ms)
5000, 192, 00, 1760.4
10000, 262.6, 00, 2177.33
15000, 350.6, 00, 2510
20000, 448.4, 00, 2800.6
